type;id;name;gender
;Q2121848;I 5;
;Q2121848;I 6;
;Q2121848;I 7;
;Q1386709;Ida-Dehmel-Ring;w
;Q87505;Ida-Ehre-Weg;w
;Q78873;Ida-Pfeiffer-Straße;w
;Q81169;Iffezheimer Straße;-
;Q215115;Ifflandstraße;m
;Q22972;Iggelheimer Straße;-
;Q550630;Ihringer Straße;-
;Q159467;Illerstraße;-
;Q30097;Iltisweg;-
;Q22958;Ilvesheimer Straße;-
;;Im Büchsenschall;
;;Im Hummelhorst;
;;Im Kaisergewann;-
;;Im Morchfeld;
;;Im Morchhof;-
;;Im Oberen Falltor;-
;;Im Pfeifferswörth;
;;Im Probstgewann;-
;;Im Rott;-
;;Im Sennteich;-
;;Im Stillen Winkel;
;;Im Wirbel;
;;Im Wörtel;
;;Immenweg;
;;In den Alten Wiesen;
;;In den Hopfengärten;-
;;In der Anlage;-
;;In der Au;-
;;Industriehafen;
;;Industriestraße;
;Q78506;Ingeborg-Bachmann-Straße;w
;;Inneneck;-
;;Innere Bogenstraße;
;;Innere Wingertstraße;
;;Innerer Heckweg;
;Q14369;Innstraße;-
;;Inselstraße;
;Q5655;Insterburger Weg;-
;Q156901;Irisweg;-
;Q271903;Isabelle-Eberhardt-Straße;w
;Q106588;Isarweg;-
;Q18218857;Isoldestraße;w
;Q11815;Itzsteinstraße;m
;Q11817;Jackson Street;m
;;Jagdpfad;
;;Jägerstraße;
;Q77098;Jahnstraße;m
;Q106747375;Jakob-Baumann-Straße;m
;-;Jakob-Bensheimer-Straße;m
;Q96002385;Jakob-Faulhaber-Straße;m
;Q1679384;Jakob-Trumpfheller-Straße;m
;Q11815;James-Monroe-Ring;m
;-;Janderstraße;m
;Q82014;Jasminweg;-
;Q72620;Jean-Becker-Straße;m
;-;Jean-Moore-Fasse-Ring;w
;Q107642711;Jechtinger Weg;-
;Q11812;Jefferson Street;m
;Q3150;Jenaer Weg;-
;Q552038;Joachim-Ringelnatz-Straße;m
;Q1696195;Johann-Schütte-Straße;m
;-;Johann-Weiß-Straße;m
;Q1294784;Johannes-Hoffart-Straße;m
;Q221522;Johannes-von-Nepomuk-Platz;m
;;Johannesmühler Straße;-
;Q1698901;Johannisberger Straße;-
;Q496302;John-Deere-Straße;m
;Q1499286;Josef-Braun-Ufer;m
;-;Josef-Bußjäger-Weg;m
;-;Josef-Rutz-Straße;m
;Q1124199;Joseph-Bauer-Straße;m
;Q7349;Joseph-Haydn-Straße;m
;Q76183;Joseph-Meyer-Straße;m
;Q246707;Joy-Fleming-Ring;w
;Q74447;Julius-Hatry-Straße;m
;Q215630;Julius-Leber-Straße;m
;Q1713309;Jungbuschbrücke;-
;Q1713309;Jungbuschstraße;-
;Q319;Jupiterweg;-
;Q77896;Jürgen-Fehling-Weg;m
;Q486541;Jüterboger Weg;-
;Q107211;Juteweg;-
;Q2121848;K 1;
;Q2121848;K 2;
;Q2121848;K 3;
;Q2121848;K 4;
;Q2121848;K 5;
;Q2121848;K 6;
;Q2121848;K 7;
;Q1795296;Käfertaler Steinweg;-
;Q1795296;Käfertaler Straße;-
;;Kaiser-Wilhelm-Hafen;
;-;Kaiserring;+
;Q701516;Kaiserstuhlring;-
;;Kaiserwörthweg;-
;Q22537;Kallstadter Straße;-
;Q1722544;Kalmitplatz;-
;Q1722544;Kalmitstraße;-
;;Kalthorststraße;-
;Q81722;Kamenzer Straße;-
;Q9394;Kaninchenweg;-
;Q9312;Kantstraße;m
;;Kapellenplatz;-
;;Kapellenstraße;-
;;Kappesstraße;-
;Q124862;Kapuzinerplanken;+
;Q124862;Kapuzinerplatz;+
;-;Karl-Schweizer-Park;m
;Q73126;Karl-Blind-Straße;m
;Q1730954;Karl-Feuerstein-Straße;m
;Q123459;Karl-Imhoff-Straße;m
;Q224203;Karl-Kuntz-Weg;m
;Q1039328;Karl-Ladenburg-Straße;m
;Q1039328;Karl-Ladenburg-Straßen;m
;Q1732234;Karl-Ludwig-Straße;m
;Q9061;Karl-Marx-Straße;m
;Q87144;Karl-Mathy-Straße;m
;Q12478384;Karl-Schwaner-Straße;m
;-;Karl-Traub-Straße;m
;Q45255;Karl-Valentin-Straße;m
;Q6373901;Karlsberger Weg;-
;Q1733560;Karlsplatz;m
;Q1040;Karlsruher Straße;-
;Q44961;Karlstern;m
;Q44961;Karlsternstraße;m
;Q133602;Karolingerweg;+
;Q81110;Karpfenstraße;-
;Q2865;Kasseler Straße;-
;;Kastanienallee;
;;Kastanienstraße;
;;Katharinenstraße;
;Q142472;Käthe-Kollwitz-Straße;w
;Q588;Kattowitzer Zeile;-
;Q15979;Kehler Straße;-
;Q58697;Keilerweg;-
;;Kellereistraße;-
;Q35966;Keltenstraße;+
;Q8963;Keplerstraße;m
;Q22959;Ketscher Ring;-
;Q626805;Kettelerweg;m
;;Kiebitzweg;-
;Q12024;Kiefernstraße;-
;;Kieselgrund;
;;Kiesteichweg;-
;Q700095;Kinzigstraße;-
;;Kirchenstraße;-
;Q1257704;Kirchgasse;-
;Q60052;Kirchhoffstraße;m
;Q759629;Kirchpfad;-
;Q1386830;Kirchplatz;-
;Q1533045;Kirchwaldstraße;-
;Q45786603;Kirschgartshäuser Straße;-
;Q101538;Kleestraße;-
;Q101538;Kleestraße;-
;;Kleine Adlerstraße;-
;;Kleine Riedstraße;-
;;Kleine Schwanengasse;-
;;Kleine Straße;-
;;Kleiner Anfang;-
;;Kleinfeldstraße;-
;;Kleingehrenstraße;-
;Q28494;Kleiststraße;m
;Q502934;Klingenberger Straße;-
;-;Kloppenheimer Brücke;-
;-;Kloppenheimer Straße;-
;;Knick;-
;;Knie;-
;Q1342341;Kniebisstraße;-
;Q1167664;Kobellstraße;m
;Q3104;Koblenzer Straße;-
;Q257264;Kochelseeweg;-
;Q24489;Kohlenstraße;-
;Q130994;Kolmarer Straße;-
;Q60619;Kolpingstraße;m
;Q3559;Kometenweg;-
;Q282991;Königsbacher Straße;-
;Q1829;Königsberger Allee;-
;Q1796381;Königshofer Straße;-
;Q156715;Königsseestraße;-
;Q569661;Königsteiner Straße;-
;Q740241;Konitzer Weg;-
;Q313183;Konrad-Witz-Straße;m
;Q60093;Konrad-Zuse-Ring;m
;Q3834;Konstanzer Straße;-
;Q1544075;Konzstraße;m
;Q619;Kopernikusstraße;m
;;Korbangel;-
;Q3901247;Kormoranstraße;-
;Q156921;Kornblumenstraße;-
;Q62344;Körnerstraße;m
;Q1796771;Köthener Weg;-
;Q77082;Krafft-Ebing-Straße;m
;Q43365;Krähenflügel;-
;Q43365;Krähenflügelweg;-
;Q43365;Krähenweg;-
;Q25365;Kranichweg;-
;Q983729;Krappitzer Straße;-
;Q163641;Krappmühlstraße;-
;;Krautgartenweg;-
;Q539659;Krautheimer Straße;-
;;Kreuzstraße;
;;Kreuzweg;
;-;Kriegerstraße;-
;Q157806;Krokusweg;-
;Q569634;Kronberger Straße;-
;Q1789858;Kronenburgstraße;-
;;Kronenstraße;
;Q1790038;Kropsburgstraße;-
;Q105569;Krügerstraße;m
;Q26381;Kuckucksplatz;-
;;Kugelfangweg;-
;;Kuhbrunnenweg;
;Q161962;Kulmer Straße;-
;Q61711;Külsheimer Straße;-
;-;Kupferstraße;-
;Q1539728;Kurpfalzbrücke;-
;Q22880;Kurpfalzstraße;-
;;Kurzgewannstraße;-
;Q63005;Kußmaulstraße;m
;Q2121848;L 1;
;Q2121848;L 2;
;Q2121848;L 3;
;Q2121848;L 4;
;Q2121848;L 5;
;Q2121848;L 6;
;Q2121848;L 7;
;Q2121848;L 8;
;Q2121848;L 9;
;Q2121848;L 10;
;Q2121848;L 11;
;Q2121848;L 12;
;Q2121848;L 13;
;Q2121848;L 14;
;Q2121848;L 15;
;Q527058;Lachnerstraße;m
;Q83225;Ladenburger Straße;-
;Q97384104;Lafettenweg;-
;;Lagerstraße;
;Q103148;Lahnstraße;-
;Q7039;Lahrer Straße;-
;Q98878;Lameygarten;m
;Q98878;Lameystraße;m
;Q16099;Lampertheimer Straße;-
;Q156733;Landsknechtweg;+
;;Landteilstraße;-
;;Landwehrstraße;-
;;Landzungenstraße;-
;;Lange Allee;-
;;Lange Rötterstraße;-
;;Langer Schlag;-
;;Langer Schlag;-
;;Langgewannweg;-
;;Langlachweg;-
;;Langstraße;-
;Q75784;Lassalleplatz;m
;Q75784;Lassallestraße;m
;Q1885700;Laubenheimer Straße;-
;Q81620;Laudenbacher Straße;-
;Q1460689;Lauergärten;m
;Q525720;Lauffener Straße;-
;;Laurentiusstraße;-
;Q22435;Lauterburger Straße;-
;Q155841;Lechstraße;-
;Q704661;Leiblstraße;m
;Q9047;Leibnizstraße;m
;Q161100;Leinenstraße;-
;;Leinpfad;-
;Q2079;Leipziger Straße;-
;Q326370;Leistadter Straße;-
;-;Lemaitrestraße;m
;Q21323;Lembacher Straße;-
;Q1816895;Lemle-Moses-Straße;m
;Q1817313;Lena-Maurer-Platz;w
;Q84280;Lenaustraße;
;Q494708;Leo-Sternbach-Straße;m
;-;Leoniweg;+
;Q29858;Lerchenstraße;-
;Q34628;Lessingstraße;m
;Q109448;Lettestraße;m
;Q159046;Levkojenweg;-
;;Lichte Zeile;-
;Q550859;Lichtenauer Straße;-
;;Liebfrauenstraße;
;Q16571;Liebigstraße;m
;Q753099;Ligusterweg;-
;;Lilienstraße;
;Q57162;Lilienthalstraße;m
;Q632421;Limbacher Straße;-
;Q572384;Limburgstraße;-
;Q108776153;Lina-Kehl-Weg;w
;Q91;Lincoln Avenue;m
;;Lindenhofplatz;-
;;Lindenhofstraße;-
;;Lindenstraße;
;;Linsenbühlweg;
;Q124098726;Lisette-Hatzfeld-Platz;w
;Q52892;Lissaer Weg;-
;Q113512474;Logauweg;m
;Q3459538;Lohengrinstraße;m
;Q6855;Lörracher Straße;-
;Q524939;Lorscher Straße;-
;Q154203;Lortzingstraße;m
;Q500260;Loslauer Weg;-
;Q841356;Lötzener Weg;-
;;Löwenstraße;
;Q60242519;Löwitstraße;m
;Q191748;Lucas-Cranach-Straße;m
;Q68093;Ludolf-Krehl-Platz;
;Q68093;Ludolf-Krehl-Straße;
;Q57170;Ludwig-Beck-Straße;m
;Q90291;Ludwig-Frank-Straße;m
;Q1874615;Ludwig-Jolly-Straße;m
;Q96072418;Ludwig-Neischwander-Weg;m
;Q1874894;Ludwig-Ratzel-Straße;m
;Q551896;Ludwig-Richter-Straße;m
;Q1874915;Ludwig-Roebel-Straße;m
;;Ludwigsbadstraße;-
;Q2910;Ludwigshafener Straße;-
;-;Luftschifferstraße;-
;Q168664;Luisenring;w
;Q168664;Luisenstraße;w
;Q156811;Lupinenstraße;-
;Q9554;Lutherstraße;m
;Q63965;Lützowstraße;m
;-;Luzenbergstraße;-
;Q2121848;M 1;
;Q2121848;M 2;
;Q2121848;M 3;
;Q2121848;M 4;
;Q2121848;M 5;
;Q2121848;M 6;
;Q2121848;M 7;
;Q61910895;Mabel-Grammer-Ring;w
;Q1883297;Madenburgstraße;-
;Q1733;Magdeburger Straße;-
;;Magnolienweg;
;;Maiblumenhof;
;;Maienweg;
;Q22969;Maikammerstraße;-
;-;Main-Neckar-Bahn-Straße;-
;Q165401;Mainauer Weg;-
;Q1670;Mainstraße;-
;;Mallaustraße;-
;;Mallauweg;-
;Q147325;Malvenweg;-
;Q152024;Malzstraße;-
;Q2119;Mannheimer Straße;-
;Q502926;Mansfelder Weg;-
;Q3869;Marburger Straße;-
;Q6101;Marco-Polo-Straße;m
;Q1304302;Marcobrunnerstraße;-
;Q36488;Marconistraße;m
;Q25437;Marderweg;-
;Q1467449;Marguerrestraße;m
;Q77511;Maria-Kirch-Straße;w
;Q1741152;Maria-Rigel-Straße;w
;Q1896297;Maria-Scherer-Straße;w
;Q75463;Marianne-Cohn-Straße;w
;Q1897249;Marie-Bernays-Platz;w
;Q7186;Marie-Curie-Straße;w
;Q146820;Marienburger Straße;-
;Q326582;Marienwerderweg;-
;;Märker Querschlag;
;Q2566474;Marketenderweg;+
;Q500400;Markircher Straße;-
;Q19996517;Marktplatz;-
;;Marktplatz;-
;Q19996517;Marktstraße;-
;Q111;Marsweg;-
;-;Martin-Lutz-Platz;m
;Q133704;Martinistraße;m
;Q77127;Mary-Wigman-Straße;w
;Q22829;Maudacher Straße;-
;;Mauerstraße;
;Q58978;Max-Born-Straße;m
;Q1912455;Max-Enderlin-Straße;m
;Q115483;Max-Frisch-Straße;m
;Q16509011;Max-Hachenburg-Straße;m
;Q77874;Max-Josef-Metzger-Straße;m
;Q44319;Max-Joseph-Straße;m
;Q9021;Max-Planck-Straße;m
;Q19963201;Max-von-Seubert-Straße;m
;Q95993651;Max-Winterhalter-Ring;m
;Q1913735;Maxauer Straße;-
;Q523286;Maxburgstraße;-
;Q566946;Maxdorfer Straße;-
;Q44319;Maximilianstraße;m
;;Maxstraße;
;Q77125;Maybachstraße;m
;Q660438;Meckenheimer Straße;-
;Q77464;Medicusstraße;m
;;Meeräckerplatz;-
;;Meeräckerstraße;-
;;Meerfeldstraße;-
;;Meerlachstraße;-
;Q498212;Meersburger Straße;-
;;Meerwiesenstraße;-
;Q487278;Meininger Weg;-
;Q8738;Meißener Weg;-
;Q1057436;Meistersingerstraße;+
;Q76325;Melanchthonstraße;m
;Q76325;Melanchthonweg;m
;Q1695799;Melchiorstraße;m
;Q776965;Memeler Straße;-
;Q164961;Menzelstraße;m
;Q308;Merkurweg;-
;Q59488;Merowingerstraße;+
;Q16130;Merziger Straße;-
;Q82724;Meßkircher Straße;-
;Q131136;Meteorweg;-
;Q543627;Mettlacher Straße;-
;Q22690;Metzer Straße;-
;Q94885207;Michael-Bitterich-Weg;m
;Q516517;Michelstadter Straße;-
;Q502681;Miltenberger Straße;-
;Q1937316;Minneburgstraße;-
;;Mittelried;
;;Mittelstraße;
;;Mittelweg;
;Q1247247;Möhlstraße;m
;;Mohnäckerstraße;
;Q1612159;Molkenbuhrstraße;m
;Q1289345;Mollstraße;m
;Q22697;Molsheimer Straße;-
;Q44205;Moltkestraße;m
;Q157550;Mönchplatz;-
;Q157550;Mönchstraße;-
;;Mönchwörthstraße;-
;;Mondgasse;
;Q11815;Monroe Street;m
;;Moosgasse;
;;Morchfeldstraße;-
;;Morgenröte;
;Q63699;Mörikestraße;m
;Q23008;Mosbacher Straße;-
;Q1667;Moselstraße;-
;;Möwenstraße;
;Q254;Mozartstraße;m
;Q545231;Mudauer Ring;-
;;Mühlaubrücke;-
;;Mühlaugrün;
;Q4310067;Mühldorfer Straße;m
;Q44494;Mühlenstraße;-
;;Mühlfeld;-
;;Mühlweg;
;Q79815;Mülhauser Straße;-
;Q79815;Mülhauser Winkel;-
;Q2899;Mülheimer Straße;-
;;Münchwälderstraße;-
;Q1952690;Mundenheimer Straße;-
;Q464780;Münzplatz;-
;Q685327;Murgstraße;-
;Q882079;Museumsstraße;-
;Q178243;Musketenweg;-
;Q10764833;Mußbacher Straße;-
;Q657074;Mutterstadter Platz;-
;Q657074;Mutterstadter Straße;-
;Q2121848;N 1;
;Q2121848;N 2;
;Q2121848;N 3;
;Q2121848;N 4;
;Q2121848;N 5;
;Q2121848;N 6;
;Q2121848;N 7;
;Q1731271;Nadlerstraße;m
;Q168696;Nahestraße;-
;Q29465;Narzissenweg;-
;Q16105;Nauheimer Straße;-
;Q76811;Naumannstraße;m
;Q15986;Naumburger Weg;-
;Q214591;Nebeniusstraße;m
;Q1973682;Neckarauer Straße;-
;Q1973682;Neckarauer Waldweg;-
;;Neckargrün;-
;Q81099;Neckarhauser Straße;-
;;Neckarplatt;-
;;Neckarpromenade;
;Q1673;Neckarspitze;-
;Q1673;Neckarstraße;-
;Q1673;Neckarvorlandbrücke;-
;Q1673;Neckarvorlandstraße;-
;Q156099;Nelkenstraße;-
;Q654;Neonstraße;-
;;Neudammstraße;
;Q122332;Neudorfstraße;-
;;Neue Heimat;
;;Neue Poststraße;
;;Neueichwaldstraße;-
;;Neuer Meßplatz;
;;Neues Leben;
;;Neugasse;
;Q553863;Neuhofer Straße;-
;;Neumarkt;
;Q67471;Neumayerstraße;m
;Q6880;Neunkircher Straße;-
;Q1981113;Neuostheimer Straße;-
;;Neurottstraße;-
;Q4149;Neustadter Straße;-
;Q20352;Neustrelitzer Weg;-
;;Neuwaldgrenzweg;
;Q115933087;Nibelungenring;-
;Q21387;Niederbronner Straße;-
;;Niederbrücklplatz;-
;;Niederfeldstraße;-
;;Niederfeldweg I;-
;;Niederfeldweg II;-
;;Niederfeldweg III;-
;;Niederfeldweg IV;-
;;Niederfeldweg V;-
;Q680403;Niersteiner Straße;-
;Q9358;Nietzschestraße;m
;Q75782;Nikolaus-Otto-Straße;m
;Q157550;Nonnenstraße;-
;Q7033;Nordhäuser Weg;-
;Q83418;Normannenstraße;+
;Q628095;Nürburgstraße;-
;;Nußbaumweg;
;-;Nüßlepfad;m
;Q2121848;O 1;
;Q2121848;O 2;
;Q2121848;O 3;
;Q2121848;O 4;
;Q2121848;O 5;
;Q2121848;O 6;
;Q2121848;O 7;
;Q1676741;Oberbergener Straße;-
;Q1605768;Obere Clignetstraße;m
;;Obere Riedstraße;-
;;Oberer Bruchrand;-
;;Oberes Ringgäßchen;
;;Obergasse;-
;Q541381;Oberkircher Straße;-
;Q75889;Oberlinweg;m
;;Oberneugasse;
;Q885299;Oberrotweiler Straße;-
;;Obhut;
;Q143970;Obstgartenweg;-
;Q8359;Odenwaldstraße;-
;Q3042;Offenbacher Straße;-
;Q4044;Offenburger Straße;-
;Q81862;Oftersheimer Straße;-
;Q336989;Öhmdstraße;-
;Q1585;Ohmweg;m
;Q15110396;Ölhafenstraße;-
;Q60946;Opitzstraße;m
;Q212334;Oppauer Kreuzweg;-
;Q212334;Oppauer Straße;-
;Q953181;Ortelsburger Straße;-
;Q8191;Ortenaustraße;-
;;Ortsstraße;-
;-;Oskar-Meixner-Straße;m
;Q76456;Oskar-von-Miller-Straße;m
;;Ostallee;
;Q529154;Osterburker Straße;-
;Q899751;Osteroder Weg;-
;;Osterstraße;-
;Q47004109;Östliche Bahnstraße;-
;;Östlicher Riedbahnweg;
;;Oswaldstraße;
;Q533667;Ottenhöfer Straße;-
;Q23035;Otterstadter Straße;-
;Q213701;Ottmar-Mergenthaler-Straße;m
;Q2038203;Otto-Beck-Straße;m
;Q57065;Otto-Hahn-Straße;m
;-;Otto-Meißner-Weg;m
;Q74856;Otto-Selz-Straße;m
;Q701770;Otto-Siffling-Straße;m
;Q2121848;P 1;
;Q2121848;P 2;
;Q2121848;P 3;
;Q2121848;P 4;
;Q2121848;P 5;
;Q2121848;P 6;
;Q2121848;P 7;
;Q25356;Pappelallee;-
;Q25356;Pappelallee;-
;;Paradeplatz;-
;;Parkau;
;;Parkring;-
;Q86573;Parsevalstraße;m
;Q76331;Paul-Gerhardt-Straße;m
;Q2061155;Paul-Martin-Ufer;m
;Q2062311;Paul-Schreck-Platz;m
;Q94856015;Paul-Wittsack-Straße;m
;;Paulusbergstraße;-
;Q21359;Pechelbronner Straße;-
;Q2150362;Perreystraße;m
;Q105428;Pestalozzistraße;m
;Q93841;Peter-Rosegger-Straße;m
;Q1493680;Petersauer Straße;-
;Q1477611;Peterskopfstraße;-
;Q44993;Pettenkoferstraße;m
;Q22160;Pfalzburger Straße;-
;Q22932;Pfalzgrafenstraße;+
;Q326359;Pfalzplatz;-
;Q326359;Pfalzstraße;-
;-;Pfarrer-Egger-Strasse;m
;;Pfarrgasse;
;Q61865;Pfauengasse;-
;;Pfeilstraße;
;;Pfingstbergplatz;-
;;Pfingstbergstraße;-
;;Pfingstweidstraße;-
;;Pflügersgrundstraße;-
;;Pflugstraße;
;Q3046;Pforzheimer Straße;-
;Q516500;Pfungstadter Straße;-
;Q96032344;Philipp-Brunnemer-Weg;m
;Q541161;Philippsburger Weg;-
;Q4964182;Philosophenplatz;+
;Q316227;Pigagestraße;m
;Q5660;Pillauer Straße;-
;Q6477;Pirnaer Straße;-
;Q25388;Pirolweg;-
;Q634;Planetenweg;-
;Q81959;Plankstadter Straße;-
;;Plattstraße;-
;;Platz der Freundschaft;
;Q3952;Plauener Weg;-
;;Plinaustraße;-
;Q1933065;Plittersdorfer Straße;-
;Q104520;Pommernstraße;-
;Q268;Posener Platz;-
;Q268;Posener Straße;-
;;Posthornweg;
;;Poststraße;
;Q1711;Potsdamer Weg;-
;-;Pozzistraße;m
;;Preßkammstraße;
;Q164072;Priebuser Straße;-
;;Promenadenweg;-
;Q149322;Pulversheimer Straße;-
;;Pumpwerkstraße;-
;;Pyramidenstraße;-
;Q2121848;Q 1;
;Q2121848;Q 2;
;Q2121848;Q 3;
;Q2121848;Q 4;
;Q2121848;Q 1;
;Q2121848;Q 2;
;Q2121848;Q 3;
;Q40623;Quedlinburger Weg;-
;;Querstraße;
;Q2121848;R 1;
;Q2121848;R 2;
;Q2121848;R 3;
;Q2121848;R 4;
;Q2121848;R 5;
;Q2121848;R 6;
;Q2121848;R 7;
;Q1605775;Rabbiner-Grünewald-Platz;m
;Q43365;Rabengasse;-
;Q81729;Radeberger Straße;-
;;Radfahrweg;
;Q1287269;Rahnfelsstraße;-
;Q753099;Rainweidenstraße;-
;;Rampenweg;
;Q148483;Rappoltsweilerstraße;-
;Q148483;Rappoltsweilerwinkel;-
;Q6874;Rastatter Straße;-
;Q319397;Rastenburger Straße;-
;-;Rathausstraße;-
;Q135645;Rathenaustraße;m
;;Ratsschreibergasse;
;;Raupenweg;
;;Rebenstraße;
;Q26106;Rebhuhnstraße;-
;Q124711016;Regattastraße;-
;;Regenbogen;
;;Regenweg;
;Q122069;Rehpfad;-
;Q122069;Rehschneise;-
;Q69736;Reichenbachstraße;m
;Q21298;Reichshofer Straße;-
;Q57158;Reichskanzler-Müller-Straße;m
;Q18789;Reiherplatz;-
;Q18789;Reiherstraße;-
;Q81913;Reilinger Weg;-
;Q179226;Reiterweg;-
;Q134738428;Relaisstraße;-
;Q534613;Renchener Straße;-
;Q64341;Renée-Sintenis-Weg;w
;-;Rennershofstraße;m
;Q94764086;Renzstraße;m
;Q67036;Rethelstraße;m
;Q2147550;Rheinauer Ring;-
;Q1567807;Rheinauhafen;-
;Q2147550;Rheinaustraße;-
;Q584;Rheinbadweg;-
;;Rheindammstraße;
;Q16077;Rheinfelder Straße;-
;;Rheingärtenstraße;
;Q1678073;Rheingoldplatz;-
;Q1678074;Rheingoldstraße;-
;Q995018;Rheingönheimer Straße;-
;Q1013661;Rheinhäuser Straße;-
;;Rheinkaistraße;
;;Rheinmühlenstraße;
;-;Rheinparkstraße;-
;;Rheinpromenade;
;;Rheinrottstraße;-
;Q584;Rheinstraße;-
;Q318849;Rheintalbahnstraße;-
;Q1639498;Rheintöchterstraße;+
;;Rheinvillenstraße;
;;Rheinvorlandstraße;
;;Rheinwiesenstraße;-
;Q107359789;Rhenaniastraße;-
;Q98545;Richard-Lenel-Straße;m
;;Richard-Wagner-Straße;m
;Q84704;Rickertstraße;m
;;Riedfeldstraße;-
;;Riedgärtenstraße;-
;;Riedlach;-
;;Riedspitze;-
;;Riedweg;-
;Q557790;Riegeler Weg;-
;Q8775;Riesaer Weg;-
;Q456471;Rieslingweg;-
;;Riestenweg;
;Q1400792;Rietburgstraße;-
;Q76483;Rilkestraße;m
;Q184453;Rindenweg;-
;;Ringstraße;
;Q21315;Rittershofener Straße;-
;Q214977;Robert-Blum-Straße;m
;-;Robert-Funari-Straße;m
;Q96056485;Robert-Schmoll-Weg;m
;Q472943;Robinienstraße;-
;Q12099;Roggenplatz;-
;Q12099;Roggenstraße;-
;Q106777660;Rohrhofer Straße;-
;;Rohrlachstraße;-
;;Rollbühlstraße;-
;Q213810;Römerstraße;+
;;Rondellplatz;
;;Rondellstraße;
;Q35149;Röntgenstraße;m
;Q77281;Roonstraße;m
;Q7231;Rosa-Luxemburg-Park;w
;;Rosengartenplatz;-
;;Rosenstraße;
;Q822148;Roßlauer Weg;-
;Q2861;Rostocker Weg;-
;Q1281102;Rotdornweg;-
;Q147525;Roteichenplatz;-
;Q147525;Roteichenring;-
;;Rothlochweg;
;Q145992;Rottannenhof;-
;Q145992;Rottannenweg;-
;Q34370;Rotterdamer Straße;-
;;Rottfeldstraße;-
;Q647805;Rottmannweg;m
;Q47469527;Roxheimer Straße;-
;Q22556;Ruchheimer Weg;-
;Q60644;Rückertstraße;m
;Q628118;Rüdesheimer Straße;-
;Q2172005;Rudi-Baerwind-Platz;m
;Q12674;Rudolf-Diesel-Straße;m
;Q95961605;Rudolf-Langendorf-Straße;m
;Q2173404;Rudolf-Maus-Straße;m
;Q517107;Rudolstadter Weg;-
;Q3237;Rügener Weg;-
;Q127660;Ruhrorter Straße;-
;Q1664;Ruhrstraße;-
;Q617940;Ruppertsberger Straße;-
;Q4031;Rüsselsheimer Straße;-
;Q2121848;S 1;
;Q2121848;S 2;
;Q2121848;S 3;
;Q2121848;S 4;
;Q2121848;S 5;
;Q2121848;S 6;
;Q155984;Saalfelder Weg;-
;Q1724;Saarbrücker Straße;-
;Q22544;Saarburger Ring;-
;Q1202;Sachsenstraße;-
;;Sackgasse;
;Q522362;Säckinger Straße;-
;Q2796766;Salmenstraße;-
;Q152661;Salzachstraße;-
;Q486985;Salzwedeler Weg;-
;;Sammelbahnhof;
;Q1737297;Sandhofer Straße;-
;;Sandrain;-
;;Sandtorfer Allee;
;Q14907;Sankt-Ingberter-Straße;-
;Q1318188;Sankt-Peter-und-Paul-Straße;-
;"Q536022;Q632868";Sasbacher Straße;-
;Q494631;Saßnitzer Weg;-
;Q193;Saturnweg;-
;;Saupferchweg;
;;Scarrastraße;-
;;Schaafeckweg;-
;;Schafscheuerstraße;-
;;Schafweide;-
;Q1265535;Schanzenstraße;-
;;Schanzenweg;
;Q1737297;Scharhofer Straße;-
;Q170340;Scharnhorststraße;m
;Q2231897;Schauenburgweg;-
;Q650549;Schauinslandstraße;-
;Q9082;Scheffelstraße;m
;Q552240;Schefflenzer Straße;-
;;Scheidhorststraße;-
;Q60070;Schellingstraße;m
;Q71616;Schenkendorfstraße;m
;;Schienenstraße;-
;Q519477;Schienenweg;-
;Q23002;Schifferstadter Straße;-
;Q1768259;Schildkrötstraße;-
;Q22670;Schillerplatz;m
;Q22670;Schillerstraße;m
;Q65402;Schimperstraße;m
;;Schindkautweg;-
;;Schlachthofstraße;-
;Q129018;Schlehenweg;-
;Q76576;Schleiermacherstraße;m
;Q22737;Schlettstadter Straße;-
;;Schleusenweg;-
;Q1758623;Schlierbacher Straße;-
;Q834157;Schlierseeweg;-
;Q881889;Schliffkopfstraße;-
;;Schlittweg;
;;Schlossergasse;
;;Schloßgartendamm;-
;;Schmiedgasse;
;Q70102;Schmitzstraße;m
;Q57941;Schneeberger Straße;-
;Q556200;Schneidemühler Straße;-
;Q1776013;Schönauer Straße;-
;Q38193;Schopenhauerstraße;m
;Q61734;Schopfheimer Straße;-
;Q37577;Schöpflinstraße;m
;Q82886;Schramberger Winkel;-
;Q2033971;Schreiberstraße;m
;;Schreinergasse;
;Q83292;Schriesheimer Straße;-
;Q7312;Schubertstraße;m
;;Schulstraße;
;;Schulzenstraße;
;Q7351;Schumannstraße;m
;;Schützenstraße;
;Q19963189;Schwabenheimer Straße;-
;;Schwabenstraße;-
;Q522541;Schwalbacher Straße;-
;Q39861;Schwalbenstraße;-
;Q39861;Schwalbenstraße;-
;Q29564928;Schwanenstraße;-
;Q57953;Schwarzenberger Straße;-
;;Schwarzer Weg;
;Q4204;Schwarzwaldstraße;-
;Q39;Schweizerstraße;-
;Q1709;Schweriner Weg;-
;Q3232;Schwetzinger Landstraße;-
;Q3232;Schwetzinger Platz;-
;Q3232;Schwetzinger Straße;-
;Q551901;Schwindstraße;m
;;Schwingstraße;-
;Q553224;Seckacher Straße;-
;Q2263743;Seckenheimer Hauptstraße;-
